tablet_a,tablet_b,designation_a,designation_b,ruler,regnal_year,month,day,total_animals,tx_a,tx_b,source_match,receiver_match,anchors_matched,match_strength
107845,210400,CST 330,"BPOA 06, 0623",Amar-Suen,5,8,20,10,transfer,transfer,1,0,date|quantity|source,3
107893,109756,CST 378,Hirose 285,Amar-Suen,8,5,5,2,receipt,receipt,0,1,date|quantity|receiver,3
107894,126762,CST 379,"Princeton 1, 073",Amar-Suen,8,5,15,2,receipt,expenditure,1,0,date|quantity|source,3
107916,144358,CST 401,"SAT 2, 1158",Amar-Suen,9,12,8,7,expenditure,expenditure,1,0,date|quantity|source,3
107991,107992,CST 476,CST 477,Šulgi,45,9,2,4,receipt,expenditure,1,0,date|quantity|source,3
108000,211596,CST 485,"Hermitage 3, 138",Šulgi,45,11,26,8,receipt,expenditure,1,0,date|quantity|source,3
108016,126442,CST 500,"PDT 2, 1104",Šulgi,46,5,5,5,receipt,receipt,0,1,date|quantity|receiver,3
108713,136262,"CTMMA 1, 028",UDT 128,Amar-Suen,8,1,29,1,transfer,transfer,1,0,date|quantity|source,3
108746,134991,CTNMC 15,TRU 227,Amar-Suen,5,12,27,2,receipt,receipt,0,1,date|quantity|receiver,3
109249,134862,DoCu 292,TRU 098,Amar-Suen,2,3,11,6,expenditure,transfer,1,0,date|quantity|source,3
109499,303489,Hirose 028,"BPOA 07, 2718",Šulgi,44,4,28,1,receipt,receipt,0,1,date|quantity|receiver,3
109516,128615,Hirose 045,SA 001b,Šulgi,45,12,12,2,receipt,receipt,0,1,date|quantity|receiver,3
109639,135091,Hirose 168,TRU 327,Amar-Suen,4,10,5,1,receipt,expenditure,1,0,date|quantity|source,3
109644,115445,Hirose 173,"MVN 08, 054",Amar-Suen,4,11,17,1,transfer,transfer,1,0,date|quantity|source,3
109652,127470,Hirose 181,"RA 009, 049 SA 136",Amar-Suen,5,2,1,8,transfer,transfer,1,0,date|quantity|source,3
109662,211932,Hirose 191,"Hermitage 3, 258",Amar-Suen,5,4,4,7,transfer,transfer,1,0,date|quantity|source,3
109662,212054,Hirose 191,"Hermitage 3, 260",Amar-Suen,5,4,4,7,transfer,transfer,1,0,date|quantity|source,3
109665,136048,Hirose 194,"UCP 09-02-2, 044",Amar-Suen,5,4,12,2,transfer,transfer,1,0,date|quantity|source,3
109665,320594,Hirose 194,"Nisaba 08, 175",Amar-Suen,5,4,12,2,transfer,transfer,1,0,date|quantity|source,3
109681,115584,Hirose 210,"MVN 08, 194",Amar-Suen,5,8,13,108,transfer,transfer,1,0,date|quantity|source,3
